gene	P_normalized_baseline	B_normalized_baseline	P_normalized_TRP_12.5min	B_normalized_TRP_12.5min	B_by_P_baseline	pauseRelease_kelong30_baseline	pauseRelease_kelong45_baseline	pauseRelease_kelong60_baseline	B_by_P_TRP_12.5min	pauseRelease_kelong30_TRP_12.5min	pauseRelease_kelong45_TRP_12.5min	pauseRelease_kelong60_TRP_12.5min	pauseRelease_FC	initiationRate_FC_bound1	initiationRate_FC_bound2	initiationRate_baseline_kelong45_termination_point01	initiationRate_baseline_kelong45_termination_point1	initiationRate_baseline_kelong45_termination_1	initiationRate_TRP_12.5min_kelong45_termination_point01	initiationRate_TRP_12.5min_kelong45_termination_point1	initiationRate_TRP_12.5min_kelong45_termination_1
Sulf1	0.04915252697417625	1.0140996679439244e-05	0.012809484902020284	6.433243855190082e-06	0.00020631689363126988	0.006189506808938096	0.009284260213407145	0.012379013617876192	0.0005022250234414534	0.015066750703243603	0.022600126054865406	0.030133501406487205	2.434240912617807	0.26060684344367746	0.6343798404187834	0.0009478701203165285	0.005371597547992392	0.049608871824751016	0.00041759082250375653	0.0015704444636855822	0.013098980875503837
Ccnt2	0.16703943553118367	5.760215011707961e-05	0.04347113264988352	4.772959445296339e-05	0.0003448416233801639	0.010345248701404918	0.015517873052107377	0.020690497402809836	0.001097960682031856	0.03293882046095568	0.04940823069143352	0.06587764092191135	3.183956366025544	0.26024472910630814	0.8286078619626229	0.004262491110580419	0.01929604030838695	0.16963153228645225	0.0025825430768821878	0.006494945015371704	0.04561896440026687
Rab3gap1	0.08496223914477445	1.5970050494129817e-05	0.028225164687963673	1.352258596309905e-05	0.000187966450212277	0.005638993506368309	0.008458490259552464	0.011277987012736619	0.00047909679580596446	0.014372903874178933	0.021559355811268402	0.028745807748357867	2.548842068703771	0.3322083430483558	0.8467466003360232	0.0015682746636835863	0.009214876186713288	0.0856808914170103	0.000890768015219094	0.0034310328371358247	0.02883368105630313
Zranb3	0.1594688278113326	1.4964945651434899e-05	0.0298020982540664	1.00908157789755e-05	9.384245094683903e-05	0.002815273528405171	0.0042229102926077565	0.005630547056810342	0.000338594138337177	0.01015782415011531	0.015236736225172964	0.02031564830023062	3.608112692293041	0.18688353493966375	0.6742968543963908	0.0022681108324278964	0.01662030533544783	0.16014225036564717	0.0007521076925945615	0.0034342965354605373	0.030256184964120296
R3hdm1	0.12222876367534023	2.29946687523476e-05	0.02040988099202566	1.8118370214916332e-05	0.00018812813008094588	0.005643843902428376	0.008465765853642565	0.011287687804856752	0.0008877254219167351	0.026631762657502053	0.03994764398625308	0.053263525315004105	4.718727717831318	0.16698099840261554	0.787937865513569	0.0022570477306090445	0.013257636461389666	0.12326352376919587	0.0010194254695914916	0.0028563147588738015	0.021225207651696897
Ubxn4	0.05465354524929594	1.9095491916046975e-05	0.00848418958393952	1.6407667148526216e-05	0.0003493916420050164	0.010481749260150493	0.01572262389022574	0.020963498520300987	0.0019339109512104438	0.05801732853631331	0.08702599280446997	0.11603465707262663	5.535080748104093	0.15523585057913172	0.8592429679561157	0.0014058325887150733	0.006324651661151709	0.055512842385518055	0.0008231869175230749	0.0015867639800776316	0.0092225346056232
Mcm6	0.06775166917201073	5.018621723225757e-05	0.01099342055645563	4.352242833126579e-05	0.0007407377241856985	0.022222131725570953	0.033333197588356435	0.044444263451141906	0.003958952366805275	0.11876857100415826	0.17815285650623738	0.23753714200831652	5.344607460295609	0.1622605124095922	0.8672187451356946	0.002935896467171698	0.009033546692652664	0.07001004894746232	0.002068443480471517	0.003057851330552524	0.01295192983136259
Cxcr4	0.08319813711051773	1.1778333925915273e-05	0.01715902329030442	1.2406178649990291e-05	0.0001415696833484302	0.004247090500452906	0.0063706357506793584	0.008494181000905812	0.0007230119360581738	0.02169035808174521	0.03253553712261782	0.04338071616349042	5.107109933125318	0.20624287858165533	1.0533050538407307	0.0013620063977713647	0.00884983873771796	0.08372816213718391	0.0007298682721526073	0.002274180368280005	0.017717301329553983
Pfkfb2	0.06750509403814915	1.5397279492703383e-05	0.014674044377353984	1.2089052667251722e-05	0.0002280906309678188	0.006842718929034564	0.010264078393551847	0.013685437858069128	0.000823839178645827	0.02471517535937481	0.03707276303906221	0.04943035071874962	3.6118939877107974	0.21737684520610018	0.7851421202674539	0.0013679285175531436	0.007443386980986568	0.0681979716153208	0.0006907478137998674	0.002011411807761726	0.015218051747380312
Yod1	0.00440840016431268	2.5382665062099215e-05	0.0027483529692678317	1.8131154556530395e-05	0.005757795144728352	0.17273385434185057	0.2591007815127758	0.34546770868370114	0.006597098247304305	0.19791294741912913	0.2968694211286937	0.39582589483825825	1.145768142401591	0.6234354565895748	0.7143124850039249	0.0011863039294375914	0.0015830599442257327	0.005550620092107144	0.000843385484736546	0.001090737251970651	0.0035642549243116994
AA986860	0.00562052252168819	1.3678694712176473e-05	0.002294334687199076	7.44203414056669e-06	0.0024337051687621236	0.07301115506286371	0.10951673259429556	0.14602231012572742	0.003243656726321793	0.09730970178965379	0.14596455268448066	0.19461940357930757	1.332805948705628	0.4082066530906713	0.5440602555404613	0.0006717464872648231	0.0011775935142167603	0.006236063783736132	0.00035783488319749183	0.0005643250050454087	0.0026292262235245775
Mapkapk2	0.049177213312934204	1.679232079955902e-05	0.004588669167746145	1.37382212856944e-05	0.0003414654810288414	0.01024396443086524	0.015365946646297863	0.02048792886173048	0.002993944602121385	0.08981833806364155	0.13472750709546233	0.1796366761272831	8.767927560644134	0.09330884892860063	0.8181252281730573	0.001247426569109498	0.005673375767273577	0.04993286774891436	0.0006641066495337095	0.0010770868746308626	0.005206889125602393
Dyrk3	0.003179206878777425	6.012931197621389e-05	0.0004540182820687518	4.5165996750973905e-05	0.018913305824041507	0.5673991747212452	0.8510987620818679	1.1347983494424905	0.09948056837088873	2.9844170511266617	4.476625576689993	5.968834102253323	5.259819160986376	0.14280866246846638	0.7511477392064754	0.0027376111077173993	0.0030237397268073674	0.00588502591770705	0.002037010036614513	0.002077871682000701	0.0024864881358625775
Eif2d	0.0535192318413418	3.989213178306677e-05	0.011662317351768738	3.0493037369056977e-05	0.0007453793787871866	0.0223613813636156	0.0335420720454234	0.0447227627272312	0.0026146636598284923	0.07843990979485477	0.11765986469228215	0.15687981958970953	3.5078293473624593	0.21790890770521096	0.7643872615000366	0.0023303382486514227	0.007147069114372185	0.055314377771579805	0.0014888098551252512	0.0025384184167844374	0.0130345040333763
Srgap2	0.0341897691297424	2.537747357454415e-05	0.003871277036012053	1.756960924024388e-05	0.0007422534348869806	0.022267603046609418	0.033401404569914125	0.044535206093218836	0.004538453093592855	0.13615359280778566	0.2042303892116785	0.2723071856155713	6.114425181857062	0.11322910726075502	0.6923309047543548	0.0014838840021519106	0.004560963223828727	0.035331755440596885	0.0008293451861710951	0.00117776011941218	0.0046619094518230274
Pm20d1	0.05569683994325918	8.459077431654294e-06	0.004134651092329406	6.072850297339774e-06	0.00015187715210184148	0.0045563145630552445	0.006834471844582866	0.009112629126110489	0.0014687697127832892	0.044063091383498676	0.06609463707524801	0.08812618276699735	9.670774652124127	0.07423493139900858	0.7179092928757056	0.000937626883857035	0.005950342478750361	0.05607749842768362	0.00031462477430358387	0.0006867433726132305	0.004407929355709696
Slc41a1	0.03196851607231942	3.623546367857108e-05	0.017231744648138102	2.751213119426024e-05	0.0011334734335681689	0.03400420300704506	0.0510063045105676	0.06800840601409013	0.0015965958036195096	0.04789787410858529	0.07184681116287793	0.09579574821717057	1.4085868767064385	0.5390223496503973	0.7592598079690189	0.0019502810262588927	0.0048274474727676405	0.033599111937855114	0.0014103633502230918	0.002961220368555521	0.018469790551879813
Rab29	0.006688480822688623	1.0741456683398643e-05	0.0004540182820687518	7.168340817270894e-06	0.0016059635914573516	0.04817890774372055	0.07226836161558083	0.0963578154874411	0.01578866116273572	0.4736598348820716	0.7104897523231074	0.9473196697641432	9.831269679288372	0.06788062851711166	0.6673527649513175	0.0005502503589798252	0.0011522136330218012	0.007171846373441562	0.0003271155195978777	0.0003679771649840654	0.0007765936188459421
Lemd1	0.005205101177396688	1.1730685505930896e-05	0.0018403164051303297	6.5128285325097405e-06	0.0022536901985444123	0.06761070595633237	0.10141605893449855	0.13522141191266474	0.0035389721649786124	0.10616916494935837	0.15925374742403756	0.21233832989871673	1.5703010854217334	0.35356016000648754	0.5551959030200692	0.0005799318595408572	0.001048390965506559	0.005732982025163578	0.00031148044801424164	0.0004771089244759713	0.002133393689093268
Nuak2	0.03885233847586364	2.5506734489906917e-05	0.005520949112064977	1.9726711677464627e-05	0.0006565044857146127	0.01969513457143838	0.029542701857157568	0.03939026914287676	0.003573065296754081	0.10719195890262244	0.16078793835393365	0.21438391780524488	5.442560370116525	0.14210081886048567	0.7733922852911862	0.0015363264368044476	0.0050330368996321755	0.04000014152790945	0.000942911516606558	0.001439796936692406	0.006408651137550885
Mdm4	0.020778665912192153	9.285130886218409e-05	0.012833727972223655	7.131116555764548e-05	0.0044685885636046715	0.13405765690814014	0.20108648536221022	0.2681153138162803	0.005556543329575471	0.16669629988726412	0.2500444498308962	0.33339259977452823	1.243467204573692	0.6176396514799007	0.7680146508595816	0.004386095557920205	0.006256175490017499	0.024956974810990438	0.003337339729816283	0.004492375247316412	0.016042730422317703
Ppp1r15b	0.06485322497933935	0.00012136527448420497	0.02636060469600008	7.000473814950798e-05	0.0018713837981514255	0.05614151394454277	0.08421227091681414	0.11228302788908553	0.002655657522155795	0.07966972566467384	0.11950458849701076	0.15933945132934768	1.4190875889697687	0.40646559526373477	0.5768102815819752	0.006109969601582617	0.011946759849723158	0.07031466233112857	0.00341381926368786	0.0057862736863278676	0.02951081791272794
Etnk2	0.038114464598765614	9.650796208421432e-06	0.008005928128341451	7.55946504111552e-06	0.0002532056086846878	0.007596168260540633	0.01139425239081095	0.015192336521081266	0.0009442334380138355	0.028327003140415065	0.0424905047106226	0.05665400628083013	3.729117387718184	0.21004960223423244	0.7832996239749644	0.0008154304753666207	0.004245732289255526	0.03854875042814458	0.0004202352081336129	0.0011407687396843436	0.00834610405519165
Sox13	0.003306300084487264	1.7861927895435266e-05	0.0006931490615307864	1.3691304464082443e-05	0.0054023916278020685	0.16207174883406206	0.24310762325109309	0.3241434976681241	0.019752323452398326	0.5925697035719498	0.8888545553579247	1.1851394071438996	3.656218359059327	0.2096449335566826	0.7665076549537158	0.0008368497561394596	0.0011344167637433135	0.004110086839781851	0.0006230401914990179	0.0006854236070367887	0.0013092577624144964
Snrpe	0.08707161041822699	0.00014132403790255546	0.038906741166551885	0.00011202998304446587	0.0016230782596501929	0.048692347789505784	0.07303852168425867	0.09738469557901157	0.0028794491567640727	0.08638347470292218	0.12957521205438327	0.17276694940584436	1.774066739939363	0.4468361269496792	0.7927171110247487	0.007230297809797266	0.015066742747437696	0.09343119212384199	0.005430416648666482	0.008932023353656152	0.043948090403552846
Zbed6	0.05637589569956509	8.243344424010125e-05	0.013932408865438572	6.746676922072036e-05	0.0014622108122130852	0.04386632436639255	0.06579948654958884	0.0877326487327851	0.0048424339159383835	0.1452730174781515	0.21790952621722726	0.290546034956303	3.3117207693255004	0.24713414647434245	0.8184392856886102	0.0042732639478002075	0.009347094560761066	0.06008540069036965	0.003175328703586802	0.004429245501476274	0.016968413480370988
Zc3h11a	0.060054049254036825	8.478126080436354e-05	0.019477618716453402	6.808683289641424e-05	0.0014117492801480752	0.042352478404442256	0.06352871760666338	0.08470495680888451	0.0034956446107500296	0.1048693383225009	0.15730400748375134	0.2097386766450018	2.47610865463546	0.3243348110309834	0.8030882325933745	0.004415697228736727	0.009820561661600042	0.06386920599023319	0.003258683667503175	0.005011669351983982	0.022541526196792044
Adora1	0.0063242720303928555	4.788080856070612e-06	0.0006931490615307864	2.868435813716623e-06	0.0007570959682095115	0.022712879046285345	0.03406931856942802	0.04542575809257069	0.004138266893677704	0.12414800681033111	0.18622201021549667	0.24829601362066223	5.465974021053721	0.10960139889613967	0.5990783990374453	0.0002787063588271061	0.0008478908415624631	0.006539735668916033	0.0001360111022325559	0.00019839451777032668	0.0008222286731480344
Ncoa2	0.03797977432282311	1.727748300619592e-05	0.013287746150966354	1.4556277261654724e-05	0.00045491273485038575	0.013647382045511573	0.02047107306826736	0.027294764091023146	0.0010954662360550978	0.03286398708165293	0.0492959806224794	0.06572797416330586	2.408079950576413	0.34986374689913247	0.8424998743413415	0.0011572844785070475	0.004575464167561128	0.03875726105810193	0.000787909938284126	0.001983807091871098	0.013942778627740815
Tmem183a	0.020888688267236753	6.17560285899213e-05	0.007576152916476014	5.147890990154369e-05	0.002956434018252055	0.08869302054756165	0.13303953082134246	0.1773860410951233	0.006794861517326486	0.20384584551979457	0.30576876827969185	0.40769169103958913	2.2983301759407575	0.36269165490678373	0.8335851750341527	0.0029879081692188265	0.004867890113270134	0.023667709553783212	0.0023923124747342265	0.0030741662372170677	0.00989270386204548
Adipor1	0.009359314956121242	5.434664379471136e-05	0.0036563895334053333	4.307893479101275e-05	0.005806690345340628	0.17420071036021884	0.2613010655403283	0.34840142072043767	0.01178182313384201	0.3534546940152603	0.5301820410228905	0.7069093880305206	2.0290083391989233	0.39066849983651386	0.7926696440306198	0.0025391921203232236	0.0033815304663741357	0.011804913926883253	0.001975115960929627	0.002304191018936107	0.005594941599000907
Rabif	0.05383980378922321	3.4457144428023556e-05	0.00939222614807703	2.4057360091128956e-05	0.000639993870759994	0.01919981612279982	0.02879972418419973	0.03839963224559964	0.002561411928529263	0.0768423578558779	0.11526353678381683	0.1536847157117558	4.002244467572137	0.17444762957990229	0.6981820603672374	0.002088969537153292	0.006934551878183382	0.05539037528848427	0.0011765034655815735	0.002021803818908506	0.010474807352177833
Kdm5b	0.7477398109956312	9.646344659154069e-05	0.12570683949493797	8.27506392476232e-05	0.00012900670149299336	0.003870201044789801	0.005805301567184702	0.007740402089579602	0.0006582827122223167	0.0197484813666695	0.029622722050004248	0.039496962733339	5.1027016783160635	0.1681157504875348	0.8578445221641083	0.011818253206575643	0.07911483619618245	0.7520806660922505	0.004980847161092424	0.01629446271563684	0.12943061826108102
Ube2t	0.15808215187673935	6.642395059800127e-05	0.026838848896155565	3.7198432884763265e-05	0.0004201862753601286	0.012605588260803859	0.018908382391205788	0.025211176521607717	0.0013859921127277416	0.041579763381832245	0.06236964507274837	0.08315952676366449	3.298518285824188	0.1697778564975665	0.560015364185258	0.004569899295677451	0.018797292964583993	0.16107122965364942	0.0019423179687759026	0.004357814369429903	0.02851277837596991
Arl8a	0.009740594547419214	5.471604508689715e-05	0.0048278000505341855	3.221323450968222e-05	0.005617320875078847	0.1685196262523654	0.25277943937854813	0.3370392525047308	0.006672445870271263	0.2001733761081379	0.30026006416220685	0.4003467522162758	1.187834204001673	0.49563710172222686	0.5887347021979176	0.002559627974384564	0.0034362814836522934	0.012202816576329586	0.0014978735534410417	0.0019323755579891185	0.006277395603469885
Rnpep	0.005527571017308847	1.967131306377665e-05	0.0013862981230615746	1.464495844173654e-05	0.003558762610589456	0.10676287831768369	0.16014431747652552	0.21352575663536738	0.010564075791572041	0.31692227374716125	0.47538341062074185	0.6338445474943225	2.968468804335971	0.2507969809380229	0.744483014136164	0.0009404847980430377	0.0014379661896008339	0.006412780105178796	0.00067288611110876	0.0007976529421843018	0.0020453212529397188
Timm17a	0.040108088714122726	4.904415993549783e-05	0.00963135692753904	3.2135683364696064e-05	0.0012227997271340573	0.03668399181402172	0.05502598772103258	0.07336798362804343	0.003336568627501507	0.10009705882504522	0.15014558823756782	0.20019411765009043	2.7286304972618907	0.24013502603398	0.6552397554970959	0.00260806808423863	0.006217796068509675	0.04231507591122013	0.0015424193206867135	0.002409241444165227	0.011077462678950363
Shisa4	0.005095078822352106	1.8488756669403455e-05	0.005520949215390981	1.0137105150529883e-05	0.0036287479181466823	0.10886243754440046	0.1632936563166007	0.21772487508880092	0.001836116355185853	0.05508349065557559	0.08262523598336338	0.11016698131115119	0.5059917074988268	1.0835846525417	0.5482848485590979	0.0008829448383466766	0.001341501932358366	0.0059270728724752616	0.0005113792239277546	0.0010082646533129428	0.005977118947164826
